1,ACTIVISION BLIZZARD,ATVI
2,ADOBE SYSTEMS INC,ADBE
3,AKAMAI TECHNOLOGIES,AKAM
4,ALEXION PHARM INC,ALXN
5,ALTERA CORP,ALTR
6,AMAZON.COM INC,AMZN
7,AMGEN,AMGN
8,ANALOG DEVICES CMN,ADI
9,APPLE INC,AAPL
10,APPLIED MATERIALS,AMAT
11,AUTODESK INC,ADSK
12,AUTOMATIC DATA PROCS,ADP
13,AVAGO TECHNOLOGIES L,AVGO
14,"BAIDU, INC.",BIDU
15,BED BATH & BEYOND,BBBY
16,BIOGEN IDEC INC,BIIB
17,BMC SOFTWARE INC,BMC
18,BROADCOM CORP,BRCM
19,C.H. ROBINSON WW,CHRW
20,CA INC,CA
21,CATAMARAN CORPORATIO,CTRX
22,CELGENE CORP,CELG
23,CERNER CORP,CERN
24,CHECK POINT SOFTWARE,CHKP
25,CISCO SYSTEMS INC,CSCO
26,CITRIX SYSTEMS INC,CTXS
27,COGNIZANT TECH SOL,CTSH
28,COMCAST CORP A,CMCSA
29,COSTCO WHOLESALE,COST
30,DELL INC,DELL
31,DENTSPLY INTL INC,XRAY
32,DIRECTV,DTV
33,DISCOVERY COMM A,DISCA
34,DOLLAR TREE INC,DLTR
35,EBAY INC.,EBAY
36,"EQUINIX, INC.",EQIX
37,"EXPEDIA, INC. NEW",EXPE
38,EXPEDITORS INTL,EXPD
39,EXPRESS SCRIPTS,ESRX
40,"F5 NETWORKS, INC.",FFIV
41,FACEBOOK INC,FB
42,FASTENAL CO,FAST
43,"FISERV, INC.",FISV
44,FOSSIL INC,FOSL
45,GARMIN LTD,GRMN
46,"GILEAD SCIENCES, INC",GILD
47,GOOGLE INC.,GOOG
48,"HENRY SCHEIN, INC.",HSIC
49,INTEL CORP,INTC
50,INTUIT INC,INTU
51,"INTUITIVE SURG, INC.",ISRG
52,K L A-TENCOR CORP,KLAC
53,LIBERTY GLOBAL CL-A,LBTYA
54,LIBERTY INTATV SRS A,LINTA
55,LIFE TECHNOLOGIES,LIFE
56,LINEAR TECHNOLOGY,LLTC
57,MATTEL INC,MAT
58,MAXIM INTEGRATED,MXIM
59,MICROCHIP TECHNOLOGY,MCHP
60,MICRON TECHNOLOGY,MU
61,MICROSOFT CORP,MSFT
62,MONDELEZ INTL CMN A,MDLZ
63,MONSTER BEVERAGE CP,MNST
64,MYLAN INC,MYL
65,"NETAPP, INC.",NTAP
66,NEWS CORP CL A,NWSA
67,NUANCE COMMUNICATNS,NUAN
68,NVIDIA CORPORATION,NVDA
69,O'REILLY AUTOMOTIVE,ORLY
70,ORACLE CORPORATION,ORCL
71,PACCAR INC.,PCAR
72,"PAYCHEX, INC.",PAYX
73,PERRIGO COMPANY,PRGO
74,PRICELINE.COM INC,PCLN
75,QUALCOMM INC,QCOM
76,RANDGOLD RES LTD,GOLD
77,REGENERON PHARMACEUT,REGN
78,"ROSS STORES, INC.",ROST
79,SANDISK CORPORATION,SNDK
80,SBA COMMUNICATIONS,SBAC
81,SEAGATE TECHNOLOGY,STX
82,SEARS HLDGS CORP,SHLD
83,SIGMA ALDRICH CORP,SIAL
84,SIRIUS XM RADIO INC.,SIRI
85,"STAPLES, INC.",SPLS
86,STARBUCKS CORP,SBUX
87,STARZ SRS A LIB CAP,STRZA
88,"STERICYCLE, INC.",SRCL
89,SYMANTEC CORPORATION,SYMC
90,TEXAS INSTRUMENTS,TXN
91,VERISK ANALYTICS INC,VRSK
92,VERTEX PHARMACEUTIC,VRTX
93,VIACOM INC CL B,VIAB
94,VIRGIN MEDIA INC,VMED
95,VODAFONE GROUP PLC,VOD
96,WESTERN DIGITAL CP,WDC
97,WHOLE FOODS MARKET,WFM
98,WYNN RESORTS LIMITED,WYNN
99,"XILINX, INC.",XLNX
100,YAHOO! INC.,YHOO